TOTAL_US,MEAN_US,MIN_US,MAX_US
6378.23,25.5129,22.7610,98.7010
6303.19,25.2128,22.7200,32.1610
6296.96,25.1878,22.7200,32.2400
6323.17,25.2927,22.7200,49.1810
6313.65,25.2546,22.6410,34.0810
6317.51,25.2700,22.7200,32.7210
6307.82,25.2313,22.7010,31.2210
6325.27,25.3011,22.6810,34.3400
6356.99,25.4280,22.6010,46.2200
6333.81,25.3353,22.7810,42.9210
6328.87,25.3155,22.6410,41.0400
6305.14,25.2205,22.6800,37.0410
6340.11,25.3604,22.6800,50.2010
6291.45,25.1658,22.7200,35.2610
6304.27,25.2171,22.7200,35.3010
6295.96,25.1838,22.7610,37.3000
13459.58,53.8383,22.7600,7080.6260
6417.93,25.6717,22.7600,48.5010
6418.64,25.6746,22.8000,34.9810
6405.05,25.6202,22.8010,35.0610
6420.30,25.6812,22.8000,37.2410
6542.37,26.1695,22.8400,51.5010
6059.55,24.2382,23.2410,30.8600
5970.41,23.8816,23.0400,28.7400
5894.54,23.5782,22.9600,25.2800
5899.52,23.5981,22.8610,31.2410
5866.54,23.4662,22.7800,25.6000
5891.42,23.5657,22.7400,28.9400
5861.02,23.4441,22.7800,25.1400
5896.12,23.5845,22.8210,34.6210
5861.30,23.4452,22.8200,25.3800
5894.76,23.5791,22.7600,31.6210
5863.47,23.4539,22.8210,25.5610
6365.37,25.4615,22.7810,172.5830
6227.25,24.9090,23.0800,32.9800
6179.97,24.7199,23.0400,28.7600
6179.67,24.7187,23.0010,28.4810
6324.16,25.2966,23.0400,52.3010
6572.31,26.2892,23.1000,43.2800
6083.73,24.3349,23.5610,25.8000
6022.29,24.0892,23.4400,28.4210
6004.27,24.0171,23.3410,30.5010
5962.63,23.8505,23.1800,32.4610
5951.25,23.8050,23.1210,27.1210
5954.10,23.8164,23.1010,30.5200
5934.88,23.7395,23.1400,26.6600
5955.35,23.8214,23.0610,32.2210
5914.09,23.6564,23.0400,26.6600
5910.30,23.6412,23.0200,26.1000
5899.94,23.5998,22.7400,31.4010
6107.55,24.4302,22.8010,158.3630
6154.63,24.6185,23.0800,41.7000
6130.38,24.5215,23.0410,27.9600
6139.05,24.5562,23.0610,28.2800
6135.47,24.5419,23.0800,30.1810
6203.89,24.8156,23.0400,34.4000
6297.02,25.1881,24.0810,45.4210
6075.55,24.3022,23.5610,33.8210
5966.57,23.8663,23.2410,25.2600
5980.71,23.9228,23.2400,32.3400
5931.74,23.7270,23.1400,25.3010
5954.03,23.8161,23.1210,30.7400
5930.94,23.7238,23.1200,25.6000
5958.11,23.8324,23.0210,30.4410
5926.26,23.7051,23.1200,25.5800
5924.35,23.6974,23.0200,26.2010
5933.15,23.7326,23.1210,27.7810
5919.53,23.6781,22.8410,32.1410
6011.56,24.0463,22.8200,177.9630
6188.99,24.7559,23.1000,41.3810
6201.27,24.8051,23.0800,29.7010
6185.17,24.7407,23.0410,28.9010
6153.81,24.6152,23.0800,27.9610
6316.91,25.2676,23.0810,53.0810
6475.05,25.9002,23.1400,47.0200
6078.43,24.3137,23.6200,26.8810
5989.03,23.9561,23.3010,25.5210
5954.36,23.8175,23.1410,25.6800
5965.81,23.8632,23.2000,34.3010
5937.77,23.7511,23.1400,27.4210
5932.69,23.7308,23.1200,25.0810
5958.19,23.8328,23.0800,30.7010
5981.27,23.9251,23.1600,29.9010
5941.53,23.7661,23.0400,30.2210
5940.06,23.7603,23.0010,27.6610
5930.17,23.7207,23.0810,25.9000
5902.43,23.6097,22.8400,25.8000
5896.53,23.5861,22.8610,32.9810
6270.57,25.0823,23.0410,166.9230
6157.11,24.6284,23.1200,29.9000
6154.13,24.6165,23.0800,28.5800
6142.79,24.5712,23.0800,28.2800
6262.09,25.0484,23.0800,43.4210
6524.56,26.0982,23.0810,48.3410
6091.97,24.3679,23.6000,26.2200
6038.73,24.1549,23.4800,34.2610
5994.09,23.9764,23.3200,31.8210
5957.14,23.8286,23.1800,28.5400
5966.47,23.8659,23.0600,31.9400
5936.76,23.7471,23.0000,27.7010
