TOTAL_US,MEAN_US,MIN_US,MAX_US
5776.70,23.1068,20.3410,64.4410
5767.92,23.0717,20.4400,45.5200
5752.36,23.0095,20.4200,34.2610
5745.94,22.9838,20.2800,31.1610
5766.06,23.0643,20.3410,36.8210
5761.16,23.0447,20.3800,35.3600
5792.84,23.1714,20.3000,45.2610
5767.27,23.0691,20.4000,36.3000
5767.16,23.0687,20.4010,33.2600
5750.22,23.0009,20.3400,34.2000
5773.90,23.0956,20.2200,46.8810
5748.02,22.9921,20.3600,34.3410
5751.54,23.0062,20.2800,31.7600
5732.52,22.9301,20.3200,31.1210
5760.52,23.0421,20.3600,33.6400
5758.80,23.0352,20.4400,45.0410
12595.53,50.3821,20.3600,6777.0610
5844.88,23.3795,20.3200,35.2400
5848.56,23.3942,20.3410,34.3410
5855.24,23.4210,20.3200,46.4610
5853.53,23.4141,20.3410,35.1400
5941.77,23.7671,20.2400,49.5200
5468.98,21.8759,21.0400,29.9410
5382.50,21.5300,20.6010,30.5610
5294.26,21.1770,20.5210,22.8610
5294.37,21.1775,20.4200,30.5410
5256.71,21.0268,20.3610,22.5200
5278.80,21.1152,20.3400,27.4210
5250.93,21.0037,20.2610,25.0800
5294.92,21.1797,20.4000,34.1810
5257.85,21.0314,20.3600,23.3210
5288.87,21.1555,20.4000,31.2210
5258.82,21.0353,20.4000,23.1600
5632.60,22.5304,20.4410,122.1420
5549.30,22.1972,20.4400,28.0800
5532.98,22.1319,20.5010,25.9400
5531.18,22.1247,20.5210,25.2410
5664.56,22.6582,20.5810,46.7010
5954.37,23.8175,20.6800,39.8810
5488.08,21.9523,21.1000,24.0200
5396.53,21.5861,20.9800,23.2600
5380.73,21.5229,20.7400,29.0800
5373.32,21.4933,20.5000,53.6810
5313.08,21.2523,20.5600,24.9000
5327.40,21.3096,20.6200,27.7200
5317.45,21.2698,20.5800,30.0410
5328.77,21.3151,20.4200,30.1210
5301.60,21.2064,20.6600,23.3800
5305.28,21.2211,20.5010,23.3800
5326.31,21.3053,20.3600,31.1610
5501.52,22.0061,20.3610,153.4830
5507.60,22.0304,20.3800,29.6400
5508.56,22.0342,20.5210,25.8600
5508.19,22.0328,20.5400,25.6200
5501.86,22.0074,20.4800,25.4810
5568.00,22.2720,20.5000,35.0210
5674.17,22.6967,21.5000,40.6410
5448.06,21.7922,21.1400,30.4600
5350.49,21.4020,20.8400,23.5010
5359.65,21.4386,20.7600,29.5410
5309.60,21.2384,20.6600,22.8400
5341.62,21.3665,20.6200,26.7000
5298.14,21.1925,20.4800,24.2600
5327.82,21.3113,20.5410,28.0600
5309.01,21.2360,20.5600,22.6610
5312.91,21.2517,20.5400,22.7200
5330.16,21.3206,20.4410,30.0610
5305.34,21.2213,20.3410,25.4200
5351.37,21.4055,20.3800,121.7220
5538.80,22.1552,20.4400,42.2210
5543.14,22.1726,20.5400,26.0210
5521.16,22.0846,20.5610,25.5000
5527.64,22.1105,20.5600,26.5000
5669.17,22.6767,20.5210,41.9210
5832.51,23.3300,20.6600,42.5810
5465.48,21.8619,21.0600,25.1610
5354.19,21.4168,20.8200,22.7200
5325.76,21.3030,20.7400,22.5610
5341.30,21.3652,20.4200,34.1000
5309.53,21.2381,20.5610,23.1000
5302.97,21.2119,20.5600,23.2400
5329.17,21.3167,20.6200,28.5810
5351.60,21.4064,20.5800,27.9210
5325.83,21.3033,20.6400,27.8610
5324.56,21.2982,20.5000,25.3810
5309.51,21.2380,20.5610,23.2010
5284.98,21.1399,20.4000,23.3600
5284.73,21.1389,20.3800,30.9010
5605.94,22.4238,20.4600,133.4430
5531.94,22.1278,20.4200,30.6410
5520.70,22.0828,20.5200,25.8400
5494.50,21.9780,20.4600,25.9810
5649.26,22.5970,20.5400,40.5810
5930.43,23.7217,20.5210,51.6010
5482.45,21.9298,21.1800,23.5400
5415.70,21.6628,20.8600,30.9810
5375.74,21.5030,20.6410,30.7000
5335.81,21.3433,20.6200,23.2410
5333.30,21.3332,20.5800,29.7210
5309.06,21.2362,20.5810,23.5400
