TOTAL_US,MEAN_US,MIN_US,MAX_US
2223.51,8.8941,8.5600,33.4210
2190.22,8.7609,8.5200,10.2210
2180.60,8.7224,8.5000,8.9600
2182.48,8.7299,8.5200,9.6200
2182.20,8.7288,8.5010,9.8400
2181.46,8.7258,8.5000,9.7400
2188.52,8.7541,8.5400,15.8000
2181.48,8.7259,8.5010,10.0000
2179.18,8.7167,8.5000,9.7000
2178.38,8.7135,8.5000,9.5800
2179.98,8.7199,8.5000,9.7400
2178.56,8.7142,8.4600,9.4800
2180.96,8.7238,8.4800,9.7000
2178.50,8.7140,8.5200,9.7000
2180.50,8.7220,8.4800,9.7400
2180.82,8.7233,8.5400,9.9000
2179.58,8.7183,8.5000,9.8800
2180.06,8.7202,8.5000,9.6610
2179.48,8.7179,8.5200,9.6600
2180.70,8.7228,8.5200,10.0600
2179.42,8.7177,8.5000,9.7000
2180.40,8.7216,8.5000,9.6600
2178.10,8.7124,8.5200,9.5810
2179.58,8.7183,8.5010,9.6800
2176.96,8.7078,8.4800,9.6210
2180.56,8.7222,8.5400,9.8400
2177.92,8.7117,8.4800,9.8010
2180.44,8.7218,8.5400,9.8010
2177.36,8.7094,8.5200,8.9200
2181.16,8.7246,8.5000,9.7000
2178.82,8.7153,8.5600,9.7600
2179.22,8.7169,8.4600,9.6800
2182.80,8.7312,8.5200,11.6410
2177.36,8.7094,8.5200,9.6800
2178.96,8.7158,8.5210,9.7400
2180.08,8.7203,8.5200,9.5800
2179.72,8.7189,8.4410,9.7610
2179.08,8.7163,8.5200,9.7000
2179.98,8.7199,8.5210,9.9000
2178.70,8.7148,8.5000,9.7400
2180.34,8.7214,8.4800,9.7200
2179.68,8.7187,8.5000,9.9010
2180.00,8.7200,8.5200,9.7600
2177.76,8.7110,8.5200,9.5410
2180.12,8.7205,8.5200,9.8200
2179.64,8.7186,8.5200,9.8610
2178.74,8.7149,8.5000,9.6400
2179.02,8.7161,8.5000,9.8200
2179.66,8.7186,8.4600,9.8200
2179.32,8.7173,8.5010,9.6600
2180.26,8.7210,8.5200,9.7400
2179.82,8.7193,8.5200,9.7600
2180.04,8.7202,8.4800,9.5810
2179.72,8.7189,8.5200,9.7800
2179.64,8.7185,8.5200,9.7210
2178.94,8.7158,8.5000,9.6810
2179.46,8.7178,8.4800,9.7000
2180.02,8.7201,8.5400,9.7010
2179.10,8.7164,8.4800,9.7000
2180.86,8.7234,8.5000,9.7410
2180.44,8.7217,8.4810,9.6800
2179.82,8.7193,8.5200,9.7200
2180.14,8.7205,8.5000,9.7000
2178.50,8.7140,8.5000,9.9000
2179.40,8.7176,8.5400,9.7200
2180.10,8.7204,8.4800,9.9000
2179.84,8.7194,8.4800,9.7200
2177.32,8.7093,8.5200,8.9400
2180.18,8.7207,8.5200,9.6800
2180.04,8.7202,8.5210,9.6200
2178.94,8.7158,8.5000,9.6200
2181.48,8.7259,8.5000,9.6600
2180.14,8.7205,8.5000,9.7400
2178.28,8.7131,8.4800,9.6200
2178.74,8.7150,8.4800,9.7000
2178.02,8.7121,8.5400,9.5400
2179.20,8.7168,8.5400,9.6810
2178.74,8.7149,8.5000,9.6600
2180.60,8.7224,8.5200,9.7810
2178.04,8.7122,8.5200,9.5200
2180.66,8.7226,8.5400,9.7610
2179.40,8.7176,8.5000,9.8000
2179.06,8.7162,8.4800,9.7800
2178.90,8.7156,8.5000,9.6600
2179.46,8.7178,8.4810,9.6800
2178.76,8.7150,8.5200,9.7810
2181.10,8.7244,8.5200,9.9200
2179.84,8.7193,8.5000,9.7800
2180.52,8.7221,8.5200,9.8400
2179.28,8.7171,8.5000,9.6400
2180.58,8.7223,8.5000,9.8210
2179.78,8.7191,8.5000,9.8200
2178.84,8.7153,8.5000,9.6810
2179.74,8.7190,8.4810,9.7800
2179.82,8.7193,8.4800,9.7400
2180.80,8.7232,8.5200,9.7610
2179.52,8.7181,8.5200,9.8600
2180.20,8.7208,8.4600,9.6600
2179.56,8.7182,8.4800,9.6400
2180.22,8.7209,8.5200,9.7400
